 ,Area,X,Y,Perim.,Angle,Length
1,68.020,1030.302,1331.900,100.000,-0.096,100.000
2,588.147,564.963,1015.994,86.325,0.000,0.000
3,457.095,553.557,1007.581,75.897,0.000,0.000
4,691.537,568.331,995.479,93.786,0.000,0.000
5,509.697,557.371,962.297,81.736,0.000,0.000
6,243.512,593.019,997.955,55.830,0.000,0.000
7,131.052,596.195,991.420,40.528,0.000,0.000
8,217.664,586.194,989.224,53.468,0.000,0.000
9,364.588,613.051,979.535,68.171,0.000,0.000
10,351.891,615.751,968.867,66.910,0.000,0.000
11,195.444,586.787,975.387,49.702,0.000,0.000
12,243.058,576.454,918.767,55.922,0.000,0.000
13,173.678,589.454,905.279,46.845,0.000,0.000
14,399.051,600.958,912.171,71.175,0.000,0.000
15,714.664,591.306,939.452,94.902,0.000,0.000
16,736.431,577.701,955.818,99.513,0.000,0.000
17,254.395,607.612,950.618,57.452,0.000,0.000
18,295.207,593.525,968.611,61.173,0.000,0.000
19,258.476,595.845,973.356,56.871,0.000,0.000
20,173.678,602.732,952.965,46.650,0.000,0.000
21,433.968,577.108,975.605,74.051,0.000,0.000
22,352.797,590.784,981.158,66.627,0.000,0.000
23,522.394,611.028,924.811,81.342,0.000,0.000
24,398.598,623.274,918.138,70.892,0.000,0.000
25,482.489,635.704,911.862,77.790,0.000,0.000
26,377.738,613.952,867.394,68.866,0.000,0.000
27,404.493,617.508,876.430,72.304,0.000,0.000
28,307.451,634.269,879.253,63.010,0.000,0.000
29,394.516,633.327,891.149,73.916,0.000,0.000
30,511.511,650.253,897.207,81.719,0.000,0.000
31,467.978,662.122,887.314,77.359,0.000,0.000
32,804.451,671.977,890.638,103.093,0.000,0.000
33,697.433,671.316,914.576,96.225,0.000,0.000
34,94.321,667.339,929.292,34.134,0.000,0.000
35,363.227,679.277,925.467,67.554,0.000,0.000
36,185.922,691.169,920.799,48.116,0.000,0.000
37,110.646,685.521,912.236,37.315,0.000,0.000
38,793.114,699.783,876.569,100.017,0.000,0.000
39,419.004,697.124,864.583,72.784,0.000,0.000
40,312.439,700.533,896.809,64.076,0.000,0.000
41,425.352,687.878,880.133,73.689,0.000,0.000
42,756.383,675.276,898.844,97.428,0.000,0.000
43,113.367,687.417,858.404,37.769,0.000,0.000
44,50.335,680.555,868.155,26.484,0.000,0.000
